# depth buffer 320x240, 2 bytes per value, shared origin 4505600
# shape 2  background -1
# vertex 0  108 86  objz -0.7500000000  wantcode 57343.1250
# vertex 1  89 105  objz 0.5500000000  wantcode 14745.3750
# vertex 2  47 220  objz 0.1000000000  wantcode 29490.7500
# counters drawn=1 software=0 unsupported=0 declined=0
# depth starts clamped: 0
# mode hardware
P 75 147 27744 1
P 76 147 31478 1
P 77 147 35211 1
P 78 147 38945 1
P 79 147 42679 1
P 73 148 21768 1
P 74 148 25502 1
P 75 148 29236 1
P 76 148 32969 1
P 77 148 36703 1
P 78 148 40437 1
P 79 148 44171 1
P 73 149 23260 1
P 74 149 26994 1
P 75 149 30728 1
P 76 149 34461 1
P 77 149 38195 1
P 78 149 41929 1
P 72 150 21018 1
P 73 150 24752 1
P 74 150 28486 1
P 75 150 32219 1
P 76 150 35953 1
P 77 150 39687 1
P 78 150 43421 1
P 72 151 22510 1
P 73 151 26244 1
P 74 151 29977 1
P 75 151 33711 1
P 76 151 37445 1
P 77 151 41179 1
P 72 152 24002 1
P 73 152 27735 1
P 74 152 31469 1
P 75 152 35203 1
P 76 152 38937 1
P 77 152 42671 1
P 71 153 21760 1
P 72 153 25493 1
P 73 153 29227 1
P 74 153 32961 1
P 75 153 36695 1
P 76 153 40429 1
P 71 154 23251 1
P 72 154 26985 1
P 73 154 30719 1
P 74 154 34453 1
P 75 154 38187 1
P 76 154 41921 1
P 71 155 24743 1
P 72 155 28477 1
P 73 155 32211 1
P 74 155 35945 1
P 75 155 39679 1
P 70 156 22501 1
P 71 156 26235 1
P 72 156 29969 1
P 73 156 33703 1
P 74 156 37437 1
P 75 156 41171 1
P 70 157 23993 1
P 71 157 27727 1
P 72 157 31461 1
P 73 157 35195 1
P 74 157 38929 1
P 69 158 21751 1
P 70 158 25485 1
P 71 158 29219 1
P 72 158 32953 1
P 73 158 36687 1
P 74 158 40421 1
P 69 159 23243 1
P 70 159 26977 1
P 71 159 30711 1
P 72 159 34445 1
P 73 159 38179 1
P 74 159 41913 1
P 69 160 24735 1
P 70 160 28469 1
P 71 160 32203 1
P 72 160 35937 1
P 73 160 39671 1
P 68 161 22493 1
P 69 161 26227 1
P 70 161 29961 1
P 71 161 33695 1
P 72 161 37429 1
P 73 161 41163 1
P 68 162 23985 1
P 69 162 27719 1
P 70 162 31453 1
P 71 162 35187 1
P 72 162 38921 1
P 68 163 25477 1
P 69 163 29211 1
P 70 163 32945 1
P 71 163 36679 1
P 72 163 40412 1
P 67 164 23235 1
P 68 164 26969 1
P 69 164 30703 1
P 70 164 34437 1
P 71 164 38170 1
P 67 165 24727 1
P 68 165 28461 1
P 69 165 32195 1
P 70 165 35928 1
P 71 165 39662 1
P 67 166 26219 1
P 68 166 29953 1
P 69 166 33687 1
P 70 166 37420 1
P 66 167 23977 1
P 67 167 27711 1
P 68 167 31445 1
P 69 167 35178 1
P 70 167 38912 1
P 66 168 25469 1
P 67 168 29203 1
P 68 168 32936 1
P 69 168 36670 1
P 65 169 23227 1
P 66 169 26961 1
P 67 169 30694 1
P 68 169 34428 1
P 69 169 38162 1
P 65 170 24719 1
P 66 170 28452 1
P 67 170 32186 1
P 68 170 35920 1
P 69 170 39654 1
P 65 171 26210 1
P 66 171 29944 1
P 67 171 33678 1
P 68 171 37412 1
P 64 172 23968 1
P 65 172 27702 1
P 66 172 31436 1
P 67 172 35170 1
P 68 172 38904 1
P 64 173 25460 1
P 65 173 29194 1
P 66 173 32928 1
P 67 173 36662 1
P 64 174 26952 1
P 65 174 30686 1
P 66 174 34420 1
P 67 174 38154 1
P 63 175 24710 1
P 64 175 28444 1
P 65 175 32178 1
P 66 175 35912 1
P 63 176 26202 1
P 64 176 29936 1
P 65 176 33670 1
P 66 176 37404 1
P 63 177 27694 1
P 64 177 31428 1
P 65 177 35162 1
P 62 178 25452 1
P 63 178 29186 1
P 64 178 32920 1
P 65 178 36654 1
P 62 179 26944 1
P 63 179 30678 1
P 64 179 34412 1
P 61 180 24702 1
P 62 180 28436 1
P 63 180 32170 1
P 64 180 35904 1
P 61 181 26194 1
P 62 181 29928 1
P 63 181 33662 1
P 64 181 37396 1
P 61 182 27686 1
P 62 182 31420 1
P 63 182 35154 1
P 60 183 25444 1
P 61 183 29178 1
P 62 183 32912 1
P 63 183 36645 1
P 60 184 26936 1
P 61 184 30670 1
P 62 184 34404 1
P 60 185 28428 1
P 61 185 32162 1
P 62 185 35895 1
P 59 186 26186 1
P 60 186 29920 1
P 61 186 33653 1
P 59 187 27678 1
P 60 187 31411 1
P 61 187 35145 1
P 59 188 29169 1
P 60 188 32903 1
P 58 189 26927 1
P 59 189 30661 1
P 60 189 34395 1
P 58 190 28419 1
P 59 190 32153 1
P 57 191 26177 1
P 58 191 29911 1
P 59 191 33645 1
P 57 192 27669 1
P 58 192 31403 1
P 59 192 35137 1
P 57 193 29161 1
P 58 193 32895 1
P 56 194 26919 1
P 57 194 30653 1
P 58 194 34387 1
P 56 195 28411 1
P 57 195 32145 1
P 56 196 29903 1
P 57 196 33637 1
P 55 197 27661 1
P 56 197 31395 1
P 55 198 29153 1
P 56 198 32887 1
P 54 199 26911 1
P 55 199 30645 1
P 54 200 28403 1
P 55 200 32137 1
