# depth buffer 320x240, 2 bytes per value, shared origin 4505600
# shape 3  background -1
# vertex 0  160 40  objz -0.9989318685  wantcode 65500.0000
# vertex 1  168 48  objz 0.9938963912  wantcode 200.0000
# vertex 2  150 200  objz 0.0844586862  wantcode 30000.0000
# counters drawn=1 software=0 unsupported=0 declined=0
# mode hardware
P 160 108 65535 1
P 156 109 65535 1
P 157 109 65535 1
P 158 109 65535 1
P 159 109 65535 1
P 160 109 65535 1
P 156 110 65535 1
P 157 110 65535 1
P 158 110 65535 1
P 159 110 65535 1
P 160 110 65535 1
P 156 111 65535 1
P 157 111 65535 1
P 158 111 65535 1
P 159 111 65535 1
P 155 112 65535 1
P 156 112 65535 1
P 157 112 65535 1
P 158 112 65535 1
P 159 112 65535 1
P 155 113 65535 1
P 156 113 65535 1
P 157 113 65535 1
P 158 113 65535 1
P 159 113 65535 1
P 155 114 65535 1
P 156 114 65535 1
P 157 114 65535 1
P 158 114 65535 1
P 159 114 65535 1
P 155 115 65535 1
P 156 115 65535 1
P 157 115 65535 1
P 158 115 65535 1
P 159 115 65535 1
P 155 116 65535 1
P 156 116 65535 1
P 157 116 65535 1
P 158 116 65535 1
P 159 116 65535 1
P 155 117 65535 1
P 156 117 65535 1
P 157 117 65535 1
P 158 117 65535 1
P 159 117 65535 1
P 155 118 65535 1
P 156 118 65535 1
P 157 118 65535 1
P 158 118 65535 1
P 159 118 65535 1
P 155 119 65535 1
P 156 119 65535 1
P 157 119 65535 1
P 158 119 65535 1
P 159 119 65535 1
P 155 120 65535 1
P 156 120 65535 1
P 157 120 65535 1
P 158 120 65535 1
P 155 121 65535 1
P 156 121 65535 1
P 157 121 65535 1
P 158 121 65535 1
P 155 122 65535 1
P 156 122 65535 1
P 157 122 65535 1
P 158 122 65535 1
P 155 123 65535 1
P 156 123 65535 1
P 157 123 65535 1
P 158 123 65535 1
P 155 124 65535 1
P 156 124 65535 1
P 157 124 65535 1
P 158 124 65535 1
P 155 125 65535 1
P 156 125 65535 1
P 157 125 65535 1
P 158 125 65535 1
P 155 126 65535 1
P 156 126 65535 1
P 157 126 65535 1
P 158 126 65535 1
P 155 127 65535 1
P 156 127 65535 1
P 157 127 65535 1
P 158 127 65535 1
P 154 128 65535 1
P 155 128 65535 1
P 156 128 65535 1
P 157 128 65535 1
P 154 129 65535 1
P 155 129 65535 1
P 156 129 65535 1
P 157 129 65535 1
P 154 130 65535 1
P 155 130 65535 1
P 156 130 65535 1
P 157 130 65535 1
