# depth buffer 320x240, 2 bytes per value, shared origin 0
# shape 3  background -1
# vertex 0  160 40  objz -0.9989318685  wantcode 65500.0000
# vertex 1  168 48  objz 0.9938963912  wantcode 200.0000
# vertex 2  150 200  objz 0.0844586862  wantcode 30000.0000
# counters drawn=0 software=0 unsupported=0 declined=0
# depth starts clamped: 0
# mode software
P 159 98 28932 1
P 160 98 21458 1
P 161 98 13985 1
P 156 99 50664 1
P 157 99 43190 1
P 158 99 35717 1
P 159 99 28243 1
P 160 99 20769 1
P 161 99 13296 1
P 156 100 49975 1
P 157 100 42501 1
P 158 100 35028 1
P 159 100 27554 1
P 160 100 20081 1
P 161 100 12607 1
P 156 101 49286 1
P 157 101 41812 1
P 158 101 34339 1
P 159 101 26865 1
P 160 101 19392 1
P 161 101 11918 1
P 156 102 48597 1
P 157 102 41123 1
P 158 102 33650 1
P 159 102 26176 1
P 160 102 18703 1
P 161 102 11229 1
P 156 103 47908 1
P 157 103 40434 1
P 158 103 32961 1
P 159 103 25487 1
P 160 103 18014 1
P 156 104 47219 1
P 157 104 39745 1
P 158 104 32272 1
P 159 104 24798 1
P 160 104 17325 1
P 156 105 46530 1
P 157 105 39056 1
P 158 105 31583 1
P 159 105 24109 1
P 160 105 16636 1
P 156 106 45841 1
P 157 106 38367 1
P 158 106 30894 1
P 159 106 23420 1
P 160 106 15947 1
P 156 107 45152 1
P 157 107 37678 1
P 158 107 30205 1
P 159 107 22731 1
P 160 107 15258 1
P 156 108 44463 1
P 157 108 36989 1
P 158 108 29516 1
P 159 108 22042 1
P 160 108 14569 1
P 156 109 43774 1
P 157 109 36300 1
P 158 109 28827 1
P 159 109 21353 1
P 160 109 13880 1
P 156 110 43085 1
P 157 110 35611 1
P 158 110 28138 1
P 159 110 20664 1
P 160 110 13191 1
P 156 111 42396 1
P 157 111 34922 1
P 158 111 27449 1
P 159 111 19975 1
P 156 112 41707 1
P 157 112 34233 1
P 158 112 26760 1
P 159 112 19286 1
P 155 113 48492 1
P 156 113 41018 1
P 157 113 33544 1
P 158 113 26071 1
P 159 113 18597 1
P 155 114 47803 1
P 156 114 40329 1
P 157 114 32856 1
P 158 114 25382 1
P 159 114 17908 1
P 155 115 47114 1
P 156 115 39640 1
P 157 115 32167 1
P 158 115 24693 1
P 159 115 17219 1
P 155 116 46425 1
P 156 116 38951 1
P 157 116 31478 1
P 158 116 24004 1
P 159 116 16531 1
P 155 117 45736 1
P 156 117 38262 1
P 157 117 30789 1
P 158 117 23315 1
P 159 117 15842 1
P 155 118 45047 1
P 156 118 37573 1
P 157 118 30100 1
P 158 118 22626 1
P 159 118 15153 1
P 155 119 44358 1
P 156 119 36884 1
P 157 119 29411 1
P 158 119 21937 1
P 159 119 14464 1
P 155 120 43669 1
P 156 120 36195 1
P 157 120 28722 1
P 158 120 21248 1
P 155 121 42980 1
P 156 121 35506 1
P 157 121 28033 1
P 158 121 20559 1
P 155 122 42291 1
P 156 122 34817 1
P 157 122 27344 1
P 158 122 19870 1
P 155 123 41602 1
P 156 123 34128 1
P 157 123 26655 1
P 158 123 19181 1
P 155 124 40913 1
P 156 124 33439 1
P 157 124 25966 1
P 158 124 18492 1
P 155 125 40224 1
P 156 125 32750 1
P 157 125 25277 1
P 158 125 17803 1
P 155 126 39535 1
P 156 126 32061 1
P 157 126 24588 1
P 158 126 17114 1
P 155 127 38846 1
P 156 127 31372 1
P 157 127 23899 1
P 158 127 16425 1
P 155 128 38157 1
P 156 128 30683 1
P 157 128 23210 1
P 154 129 44942 1
P 155 129 37468 1
P 156 129 29994 1
P 157 129 22521 1
P 154 130 44253 1
P 155 130 36779 1
P 156 130 29306 1
P 157 130 21832 1
P 154 131 43564 1
P 155 131 36090 1
P 156 131 28617 1
P 157 131 21143 1
P 154 132 42875 1
P 155 132 35401 1
P 156 132 27928 1
P 157 132 20454 1
P 154 133 42186 1
P 155 133 34712 1
P 156 133 27239 1
P 157 133 19765 1
P 154 134 41497 1
P 155 134 34023 1
P 156 134 26550 1
P 157 134 19076 1
P 154 135 40808 1
P 155 135 33334 1
P 156 135 25861 1
P 157 135 18387 1
P 154 136 40119 1
P 155 136 32645 1
P 156 136 25172 1
P 157 136 17698 1
P 154 137 39430 1
P 155 137 31956 1
P 156 137 24483 1
P 154 138 38741 1
P 155 138 31267 1
P 156 138 23794 1
P 154 139 38052 1
P 155 139 30578 1
P 156 139 23105 1
P 154 140 37363 1
P 155 140 29889 1
P 156 140 22416 1
P 154 141 36674 1
P 155 141 29200 1
P 156 141 21727 1
P 154 142 35985 1
P 155 142 28511 1
P 156 142 21038 1
P 154 143 35296 1
P 155 143 27822 1
P 156 143 20349 1
P 154 144 34607 1
P 155 144 27133 1
P 156 144 19660 1
P 153 145 41392 1
P 154 145 33918 1
P 155 145 26444 1
P 153 146 40703 1
P 154 146 33229 1
P 155 146 25756 1
P 153 147 40014 1
P 154 147 32540 1
P 155 147 25067 1
P 153 148 39325 1
P 154 148 31851 1
P 155 148 24378 1
P 153 149 38636 1
P 154 149 31162 1
P 155 149 23689 1
P 153 150 37947 1
P 154 150 30473 1
P 155 150 23000 1
P 153 151 37258 1
P 154 151 29784 1
P 155 151 22311 1
P 153 152 36569 1
P 154 152 29095 1
P 155 152 21622 1
P 153 153 35880 1
P 154 153 28406 1
P 155 153 20933 1
P 153 154 35191 1
P 154 154 27717 1
P 153 155 34502 1
P 154 155 27028 1
P 153 156 33813 1
P 154 156 26339 1
P 153 157 33124 1
P 154 157 25650 1
P 153 158 32435 1
P 154 158 24961 1
P 153 159 31746 1
P 154 159 24272 1
P 153 160 31057 1
P 154 160 23583 1
P 152 161 37842 1
P 153 161 30368 1
P 154 161 22894 1
P 152 162 37153 1
P 153 162 29679 1
P 152 163 36464 1
P 153 163 28990 1
P 152 164 35775 1
P 153 164 28301 1
P 152 165 35086 1
P 153 165 27612 1
P 152 166 34397 1
P 153 166 26923 1
P 152 167 33708 1
P 153 167 26234 1
P 152 168 33019 1
P 153 168 25545 1
P 152 169 32330 1
P 153 169 24856 1
P 152 170 31641 1
P 153 170 24167 1
P 152 171 30952 1
P 152 172 30263 1
P 152 173 29574 1
P 152 174 28885 1
P 152 175 28196 1
P 152 176 27507 1
P 151 177 34292 1
P 152 177 26818 1
P 151 178 33603 1
P 152 178 26129 1
P 151 179 32914 1
P 151 180 32225 1
P 151 181 31536 1
P 151 182 30847 1
P 151 183 30158 1
P 151 184 29469 1
P 151 185 28780 1
P 151 186 28091 1
P 151 187 27402 1
P 150 193 30742 1
P 150 194 30053 1
P 150 195 29364 1
