# shape E mode zplane ntri 4
# select hard 1 soft 0
# v0 40.0000000 60.0000000
# v1 120.0000000 52.0000000
# v2 200.0000000 64.0000000
# v3 280.0000000 56.0000000
# v4 48.0000000 180.0000000
# v5 128.0000000 188.0000000
# v6 208.0000000 176.0000000
# v7 288.0000000 184.0000000
# t0 0 4 1
# t1 4 5 1
# t2 1 5 2
# t3 5 6 2
# counters drawn=4 software=0 declined=0 warp=4
# mode hardware
# depth starts clamped: 0
Z 88 60 27769
Z 89 60 27830
Z 90 60 27890
Z 91 60 27951
Z 92 60 28011
Z 93 60 28071
Z 94 60 28132
Z 95 60 28192
Z 96 60 28252
Z 97 60 28313
Z 98 60 28373
Z 99 60 28433
Z 100 60 28494
Z 101 60 28554
Z 102 60 28615
Z 103 60 28675
Z 104 60 28735
Z 105 60 28796
Z 106 60 28856
Z 107 60 28916
Z 108 60 28977
Z 109 60 29037
Z 110 60 29098
Z 111 60 29158
Z 112 60 29218
Z 113 60 29279
Z 114 60 29339
Z 115 60 29399
Z 116 60 29460
Z 117 60 29520
Z 118 60 29581
Z 119 60 29641
Z 120 60 29701
Z 121 60 29762
Z 122 60 29822
Z 123 60 29882
Z 124 60 29943
Z 125 60 30003
Z 126 60 30063
Z 127 60 30124
Z 128 60 30184
Z 129 60 30245
Z 130 60 30305
Z 131 60 30365
Z 132 60 30426
Z 133 60 30486
Z 134 60 30546
Z 135 60 30607
Z 136 60 30667
Z 137 60 30728
Z 138 60 30788
Z 139 60 30848
Z 140 60 30909
Z 141 60 30969
Z 142 60 31029
Z 143 60 31090
Z 144 60 31150
Z 145 60 31210
Z 146 60 31271
Z 147 60 31331
Z 148 60 31392
Z 149 60 31452
Z 150 60 31512
Z 151 60 31573
Z 152 60 31633
Z 153 60 31693
Z 154 60 31754
Z 155 60 31814
Z 156 60 31875
Z 157 60 31935
Z 158 60 31995
Z 159 60 32056
Z 160 60 32116
Z 161 60 32176
Z 162 60 32237
Z 163 60 32297
Z 164 60 32358
Z 165 60 32418
Z 166 60 32478
Z 167 60 32539
Z 168 60 32599
Z 169 60 32659
Z 170 60 32720
Z 171 60 32780
Z 172 60 32840
Z 173 60 32901
Z 174 60 32961
Z 175 60 33022
Z 176 60 33082
Z 40 61 24912
Z 41 61 24972
Z 42 61 25033
Z 43 61 25093
Z 44 61 25153
Z 45 61 25214
Z 46 61 25274
Z 47 61 25334
Z 48 61 25395
Z 49 61 25455
Z 50 61 25515
Z 51 61 25576
Z 52 61 25636
Z 53 61 25697
Z 54 61 25757
Z 55 61 25817
Z 56 61 25878
Z 57 61 25938
Z 58 61 25998
Z 59 61 26059
Z 60 61 26119
Z 61 61 26180
Z 62 61 26240
