# shape B mode zplane ntri 2
# select hard 1 soft 0
# v0 40.2890625 40.2890625
# v1 200.2890625 40.2890625
# v2 200.2890625 180.2890625
# v3 40.2890625 180.2890625
# t0 0 1 2
# t1 0 2 3
# counters drawn=2 software=0 declined=0 warp=0
# mode hardware
# depth starts clamped: 0
Z 134 44 29905
Z 135 44 29966
Z 136 44 30026
Z 137 44 30086
Z 138 44 30147
Z 139 44 30207
Z 140 44 30267
Z 141 44 30328
Z 142 44 30388
Z 143 44 30448
Z 144 44 30509
Z 145 44 30569
Z 146 44 30630
Z 147 44 30690
Z 148 44 30750
Z 149 44 30811
Z 150 44 30871
Z 151 44 30931
Z 152 44 30992
Z 153 44 31052
Z 154 44 31113
Z 155 44 31173
Z 156 44 31233
Z 157 44 31294
Z 158 44 31354
Z 159 44 31414
Z 160 44 31475
Z 161 44 31535
Z 162 44 31596
Z 163 44 31656
Z 164 44 31716
Z 165 44 31777
Z 166 44 31837
Z 167 44 31897
Z 168 44 31958
Z 169 44 32018
Z 170 44 32078
Z 171 44 32139
Z 172 44 32199
Z 173 44 32260
Z 174 44 32320
Z 175 44 32380
Z 176 44 32441
Z 177 44 32501
Z 178 44 32561
Z 179 44 32622
Z 180 44 32682
Z 181 44 32743
Z 182 44 32803
Z 183 44 32863
Z 184 44 32924
Z 185 44 32984
Z 186 44 33044
Z 187 44 33105
Z 188 44 33165
Z 189 44 33226
Z 190 44 33286
Z 191 44 33346
Z 192 44 33407
Z 193 44 33467
Z 194 44 33527
Z 195 44 33588
Z 196 44 33648
Z 197 44 33708
Z 198 44 33769
Z 199 44 33829
Z 40 45 24270
Z 41 45 24331
Z 42 45 24391
Z 43 45 24452
Z 44 45 24512
Z 45 45 24572
Z 46 45 24633
Z 47 45 24693
Z 48 45 24753
Z 49 45 24814
Z 50 45 24874
Z 51 45 24935
Z 52 45 24995
Z 53 45 25055
Z 54 45 25116
Z 55 45 25176
Z 56 45 25236
Z 57 45 25297
Z 58 45 25357
Z 59 45 25418
Z 60 45 25478
Z 61 45 25538
Z 62 45 25599
Z 63 45 25659
Z 64 45 25719
Z 65 45 25780
Z 66 45 25840
Z 67 45 25900
Z 68 45 25961
Z 69 45 26021
